timestamp, index, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/11 17:17:54.721, 0, Tesla P100-PCIE-16GB, P0, 37, 8 %, 0 %, 0 MiB, 16384 MiB, 32.14 W, 1189 MHz, 715 MHz
2026/03/11 17:17:54.925, 0, Tesla P100-PCIE-16GB, P0, 37, 0 %, 0 %, 10 MiB, 16384 MiB, 32.14 W, 1189 MHz, 715 MHz
2026/03/11 17:17:55.155, 0, Tesla P100-PCIE-16GB, P0, 37, 2 %, 0 %, 408 MiB, 16384 MiB, 32.14 W, 1189 MHz, 715 MHz
2026/03/11 17:17:55.358, 0, Tesla P100-PCIE-16GB, P0, 37, 12 %, 1 %, 10 MiB, 16384 MiB, 32.14 W, 1189 MHz, 715 MHz
