timestamp, index, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/03/11 17:18:02.891, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:03.094, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:03.298, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:03.501, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:03.706, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:03.910, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:04.113, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:04.317, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:04.520, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:04.724, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:04.931, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:05.134, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:05.338, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:05.541, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:05.745, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:05.949, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:06.152, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:06.356, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:06.559, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:06.763, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:06.968, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:07.172, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.44 W, 1328 MHz, 715 MHz
2026/03/11 17:18:07.375, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 424 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:07.579, 0, Tesla P100-PCIE-16GB, P0, 38, 100 %, 0 %, 422 MiB, 16384 MiB, 36.68 W, 1328 MHz, 715 MHz
2026/03/11 17:18:08.671, 0, Tesla P100-PCIE-16GB, P0, 38, 60 %, 0 %, 408 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:08.875, 0, Tesla P100-PCIE-16GB, P0, 38, 6 %, 0 %, 0 MiB, 16384 MiB, 36.70 W, 1328 MHz, 715 MHz
2026/03/11 17:18:09.078, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
2026/03/11 17:18:09.282, 0, Tesla P100-PCIE-16GB, P0, 38, 0 %, 0 %, 0 MiB, 16384 MiB, 36.46 W, 1328 MHz, 715 MHz
